"Service","Relational Database Service($)","ElastiCache($)","Tax($)","EC2-Instances($)","EC2-Other($)","Elastic Load Balancing($)","VPC($)","CloudWatch($)","WAF($)","Secrets Manager($)","Lightsail($)","Route 53($)","S3($)","EC2 Container Registry (ECR)($)","Elastic Container Service($)","CloudShell($)","Key Management Service($)","Glue($)","SNS($)","SQS($)","CloudFormation($)","Certificate Manager($)","Data Transfer($)","Total costs($)"
"2026-04-15","0.4645704938","","","","","","0.12","0.6","","0.000005","0","","0.0000200091","","","","0","0","0","","","","","1.1845955029"
"2026-04-16","0.4662069281","","","","","","0.12","0.6","","","0","","","","","","0","0","","0","","","","1.1862069281"
"2026-04-17","0.4746303845","","","0","0.9000003224","","0.209644445","0.6","","0.00002","0.0383795844","","0.0000821975","","","","0","0","0","0","","","","2.2227569338"
"2026-04-18","0.464468809","1.2288","","0","2.4000291086","0.2381429178","0.40307639","0.6","","0.0268629634","0.0921110026","","0.0000228307","0.0007439202","0.0037853332","0.0000000687","0","0","0","0","0","","","5.4580433442"
"2026-04-19","0.4645826003","0","","0","2.4001833319","0.635169651","0.490997225","0.6","","0.0534483376","0.0921110026","","0.0000050018","0.002735916","0.0066243331","","0","0","0","","","","","4.7458573993"
"2026-04-20","0.4646255882","0","","0","2.400597886","0.6350482906","0.490977785","0.6","","0.1345128623","0.0921110026","","0.0000150073","0.0027359178","0.0537832785","","0","0","","","0","","","4.8744076183"
"2026-04-21","0.464851243","0","","0","2.4000005246","0.635050629","0.48","0.6","","0.2133483504","0.0921110026","","0.0000300018","0.0027359208","","","0","0","0","0","","","","4.8881276722"
"2026-04-22","0.4647448341","0","","0","2.4000004025","0.6350478616","0.48","0.6","","0.2134283504","0.0921110026","","0.0000200016","0.0027359208","","","","0","0","0","","","","4.8880883736"
"2026-04-23","0.466154113","0","","0","2.4000002372","0.6350657176","0.48","0.6","","0.2133333504","0.0921110026","","0.0000158507","0.0027359208","","","0","0","","0","","","","4.8894161923"
"2026-04-24","0.5074519329","0","","0.5564355608","2.4799405049","0.6350674509","0.53898611","0.6","","0.2147764731","0.0921110026","","0","0.0027359208","","","0","0","","","","","","5.627504956"
"2026-04-25","0.9178188217","0","","1.1322886824","2.5856025121","0.6350666391","0.5829","0.5","","0.2266666848","0.1046188221","","0","0.0027359208","","","0","0","","","","","","6.687698083"
"2026-04-26","0.5452845245","0","","1.1328","2.5856325105","0.6350661861","0.48","0","","0.2266666848","0.2121110026","","0.00025218","0.0027359208","","","","0","","","","","","5.8205490093"
"2026-04-27","5.4015943805","0","","1.7392277028","2.6919231667","0.6350644382","0.55770695","0","","0.2266816848","0.2121110026","","0.0030700352","0.0027359208","","","0","0","0","0","","","","11.4701152816"
"2026-04-28","20.1722710769","6.364","","3.5088","2.9254994896","0.6350662891","0.72","0","","0.2266766848","0.2121110026","","0.006990374","0.0027359208","","","0","0","0","0","","","","34.7741508378"
"2026-04-29","20.1691888016","9.8304","","3.5088","2.9254049453","0.6350709652","0.72","0","","0.2266666848","0.2121110026","","0.0069658","0.0027359208","","","0","0","","","","","","38.2373441203"
"2026-04-30","20.1691888016","9.8304","","3.5088","2.9254250739","0.6350984701","0.72","0","","0.2267616848","0.12","","0.00696458","0.0027359208","","","","0","","","","","","38.1453745312"
"2026-05-01","20.1565052932","9.8304","235.25","3.5088","2.9085215557","0.6351877152","0.72","0","","0.2193548352","0.2041396799","","0.0069708107","0.0026476656","","","","0","0","0","","","","273.4425275555"
"2026-05-02","20.1565052932","9.8304","","3.5088","2.9084273223","0.6350540873","0.724863895","0","","0.2193598352","0.2091396799","","0.0069807812","0.0026476656","","","0","0","0","0","","","","38.2021785597"
"2026-05-03","20.1586862172","9.8304","","3.5088","2.9084274454","0.63505167","0.72","0","","0.2193648352","0.2091396799","","0.006985405","0.0026476656","","","0","0","0","","","","","38.1995029183"
"2026-05-04","20.1601891258","9.8304","","3.5088","2.9085509277","0.6350486508","0.72","0","","0.2194498352","0.2091396799","","0.00696622","0.0026476656","","","0","0","","0","","","","38.201192105"
"2026-05-05","20.1639209991","9.8304","","3.5088","2.908478717","0.6350496375","0.72","0","","0.2193548352","0.2091396799","","0.006979966","0.0026476656","","","","0","0","","","","","38.2047715003"
"2026-05-06","20.1769720303","9.8304","","3.5088","2.9084331339","0.6350513653","0.72","0","","0.2193548352","0.2091396799","","0.0069674","0.0026476656","","","","0","","","","","","38.2177661102"
"2026-05-07","20.1807402924","9.8304","","3.4840331216","2.9084259175","0.6350659883","0.72195417","0","","0.2193548352","0.2091396799","","0.0069716031","0.0026476656","","","","0","0","","","","","38.1987332736"
"2026-05-08","20.1809856294","9.8304","","3.4958724392","2.9084507873","0.6350711986","0.72","0","","0.2193548352","0.2091396799","","0.0069803894","0.0026476656","","","0","0","","","","","","38.2089026246"
"2026-05-09","20.1811210053","9.8304","","3.5088","2.908430264","0.6350694065","0.72","0","","0.2193548352","0.2091396799","","0.00696702","0.0026476656","","","0","0","","","","","","38.2219298765"
"2026-05-10","20.1812247532","9.8304","","3.529430353","2.9114751866","0.6350689269","0.73252361","0","","0.2193548352","0.2091396799","","0.00694566","0.0026476656","","","","0","","","","","","38.2582106704"
"2026-05-11","20.4154435123","9.8304","","3.792","2.9333954873","0.6351954591","0.84","0","","0.2193998352","0.2091396799","","0.0069912911","0.0026476656","","","0","0","0","0","","","","38.8846129305"
"2026-05-12","21.9025693295","9.8304","","3.792","2.9323807868","0.6350536055","0.841109725","0","","0.2193548352","0.2091396799","0.5","0.00696572","0.0026476656","","","0","0","","0","","","","40.8716213475"
"2026-05-13","21.7183818579","9.8304","","3.792","2.9330070429","0.6350526145","0.84","0","","0.2194598352","0.2091396799","0.000112","0.00698248","0.0026476656","","","0","0","","","","","","40.187183176"
"2026-05-14","20.7389812966","10.0976","","3.792","2.9331871932","1.5691853221","1.193384735","0","0.0490330954","0.2193548352","0.2091396799","0.0011888","0.0073404312","0.0026476656","","","0","0","0","","","0","","40.8130430542"
"2026-05-15","20.7286474741","16.2432","","6.0721496816","3.3431155408","1.9291129006","1.58246812","0","0.5816189568","0.2193548352","0.2091396799","0.0010884","0.009458479","0.0026476656","","","","0","","","","","","50.9220017336"
"2026-05-16","20.7284663841","16.2432","","6.1965056168","3.3762376818","1.9291098402","1.59823061","0","0.5816825568","0.2193548352","0.2091396799","0.0017436","0.0095300123","0.0026476656","","","","0","0","","","","","51.0958484827"
"2026-05-17","20.7283231486","16.2432","","6.1945757056","3.3742277638","1.9290761248","1.59795148","0","0.5818487568","0.2194498352","0.2091396799","0.0007704","0.0093605241","0.0026476656","","","","0","","0","","","","51.0905710844"
"2026-05-18","20.7283907895","16.2432","","6.1948886216","3.3802352859","1.9290724749","1.599852805","0.0030801815","0.5822999568","0.2193548352","0.2091396799","0.0008036","0.0090084172","0.0026476656","","","0","0","","","","","","51.1019743131"
"2026-05-19","20.6424290586","16.064","","6.197317565","3.3796128874","1.9293867298","1.60321952","0.08064516","0.5839565568","0.2193648352","0.2091396799","0.000932","0.0083763465","0.0026476656","","","0","0","0","","","","","50.9210280048"
"2026-05-20","20.27914861","9.1776","","6.1980990016","3.3785498502","1.9297558896","1.59869729","0.08064516","0.5838743568","0.2193548352","0.2091396799","0.00077","0.009807491","0.0026476656","","","","0","","","","","","43.6680898299"
"2026-05-21","20.2609728243","9.1776","","6.2006035531","3.3772548385","1.929213009","1.600818105","0.08064516","0.5822849568","0.2193548352","0.2091396799","0.000774","0.0096435569","0.0026476656","","","","0","","","","","","43.6509521843"
"2026-05-22","12.9303009475","9.1776","","6.1978784622","3.3794827024","1.9296416447","1.59870419","0.08064516","0.5816681568","0.2194498352","0.2091396799","0.0012488","0.0093262402","0.0026476656","","","0","0","","","","","","36.3177334845"
"2026-05-23","6.1685255944","9.1776","","6.1980155752","3.3795136616","1.9295086746","1.598719445","0.08064516","0.5826461568","0.2193548352","0.2091396799","0.0011328","0.0092808651","0.0026476656","","","0","0","","","","","","29.5567301134"
